power_density,thermal_cond_si,boundary_temp,metal_cond_Cu,metal_cond_W,die_thickness,block_power_map,tim_hs_conductance,x,y,hotspot_cx,hotspot_cy,sigma_spot,r_sq,temperature
5.799,164.16,317.47,387.08,164.33,0.331,6.44,0.5967,0.3745,0.6543,0.2038,0.2772,0.17,0.171355,330.394
4.273,166.51,306.5,394.06,179.33,0.445,6.562,0.6542,0.9507,0.08,0.5318,0.5472,0.1282,0.393731,318.474
1.39,100.31,301.21,373.16,174.51,0.403,5.027,1.0806,0.732,0.2423,0.5923,0.8515,0.1388,0.390604,308.402
7.43,122.2,314.63,364.46,173.94,0.543,12.369,1.0414,0.5987,0.7737,0.5062,0.6371,0.0995,0.027206,354.862
7.862,158.62,319.61,365.94,167.51,0.628,2.002,1.1291,0.156,0.5287,0.5141,0.5328,0.0969,0.128224,350.709
4.017,137.55,300.18,384.85,163.83,0.721,8.228,1.0548,0.156,0.928,0.2299,0.659,0.2224,0.077824,330.28
5.296,156.53,301.98,378.38,176.84,0.452,7.144,0.4164,0.0581,0.4288,0.5789,0.5497,0.0936,0.28584,317.552
4.152,159.73,315.61,374.32,174.14,0.325,8.494,0.5972,0.8662,0.8698,0.8814,0.3324,0.2193,0.289015,324.937
3.253,130.98,328.61,360.14,165.5,0.302,1.233,0.5633,0.6011,0.449,0.8807,0.4257,0.0858,0.078682,335.987
1.541,125.13,298.55,393.77,158.11,0.722,10.27,0.6411,0.7081,0.9792,0.3793,0.7653,0.1587,0.153846,309.199
4.192,131.88,316.17,389.05,154.42,0.739,0.696,0.5631,0.0206,0.9598,0.6828,0.5708,0.1452,0.589807,339.839
6.729,145.7,326.26,357.03,166.58,0.35,8.154,1.0064,0.9699,0.3291,0.4533,0.4418,0.2029,0.279612,343.995
1.119,125.7,308.48,368.37,158.88,0.305,4.35,0.9307,0.8324,0.8859,0.2102,0.1903,0.2274,0.871074,311.236
5.075,154.25,302.67,377.11,157.93,0.7,5.039,0.4789,0.2123,0.8476,0.6923,0.192,0.1008,0.660175,325.835
7.165,163.28,316.67,372.72,153.17,0.62,11.207,0.4618,0.1818,0.2107,0.3752,0.221,0.141,0.037513,352.695
2.523,119.76,291.26,369.89,151.03,0.578,14.795,0.4962,0.1834,0.6243,0.7087,0.8409,0.0863,0.322916,304.895
2.283,167.55,304.41,385.94,173.5,0.567,7.393,0.5827,0.3042,0.0727,0.4035,0.8658,0.1185,0.638868,312.194
6.406,143.59,300.32,352.73,153.24,0.687,10.208,0.9144,0.5248,0.8367,0.24,0.6867,0.0996,0.103596,330.753
2.786,161.47,298.98,373.57,176.66,0.447,4.103,0.632,0.4319,0.1745,0.7824,0.1383,0.2433,0.124143,308.951
2.344,107.27,297.19,363.11,156.41,0.495,8.533,0.6818,0.2912,0.0708,0.1415,0.5819,0.1373,0.283599,307.848
3.646,117.6,319.48,354.23,172.79,0.339,1.95,0.3379,0.6119,0.4002,0.3925,0.5994,0.1039,0.08782,329.134
3.748,122.47,328.2,373.24,174.69,0.583,12.828,0.7321,0.1395,0.5769,0.638,0.8877,0.0709,0.345145,346.685
7.119,121.2,305.39,358.57,173.78,0.78,7.108,0.6974,0.2921,0.8549,0.8091,0.2915,0.1197,0.584668,350.043
5.329,112.03,291.96,362.91,176.19,0.442,5.741,0.9152,0.3664,0.9742,0.2289,0.6785,0.2302,0.106372,316.436
3.842,160.77,318.76,375.35,160.19,0.765,7.944,0.4815,0.4561,0.4395,0.1768,0.8949,0.192,0.285371,337.127
4.741,129.3,311.53,398.69,179.58,0.665,13.738,0.9504,0.7852,0.0604,0.3417,0.8513,0.0779,0.822059,336.703
7.678,167.42,318.95,384.21,158.39,0.417,11.759,0.946,0.1997,0.7491,0.305,0.3836,0.0525,0.144706,338.546
1.793,140.84,315.92,363.98,178.03,0.631,2.715,0.8602,0.5142,0.5652,0.6554,0.2131,0.171,0.143887,325.677
2.454,109.69,326.22,369.12,163.12,0.483,11.636,0.6223,0.5924,0.4479,0.2901,0.1613,0.2417,0.173486,343.259
7.738,138.21,295.62,370.31,151.71,0.361,6.196,0.3528,0.0465,0.3093,0.5992,0.1479,0.1068,0.33156,315.892
7.701,169.55,296.77,357.68,173.55,0.346,6.228,0.513,0.6075,0.5024,0.6248,0.1705,0.1258,0.110486,311.551
2.24,139.56,303.66,358.03,173.62,0.309,11.488,1.1371,0.1705,0.3387,0.7445,0.8836,0.2137,0.626381,308.396
2.016,100.13,309.66,357.42,155.92,0.699,7.165,1.0913,0.0651,0.757,0.5827,0.8895,0.1253,0.285565,324.265
3.948,165.32,327.03,376.08,174.71,0.742,1.551,0.4775,0.9489,0.5439,0.8368,0.1925,0.1575,0.136016,344.096
1.348,116.44,326.28,383.71,154.73,0.541,4.078,0.5892,0.9656,0.8768,0.6537,0.1655,0.0567,0.603349,332.96
5.584,148.2,324.87,379.54,154.54,0.56,13.472,0.3089,0.8084,0.5435,0.294,0.6317,0.1859,0.272416,346.784
1.542,136.06,298.9,398.89,174.27,0.646,9.083,0.5794,0.3046,0.2383,0.8519,0.7551,0.0534,0.566626,306.149
1.406,122.78,319.19,356.29,158.71,0.65,13.002,1.0205,0.0977,0.8511,0.252,0.7066,0.1238,0.044697,334.546
4.396,119.78,305.34,399.32,152.31,0.462,4.925,0.8141,0.6842,0.5572,0.2488,0.1074,0.0668,0.39191,321.939
7.705,165.01,327.25,373.33,178.69,0.38,10.49,1.082,0.4402,0.2068,0.6938,0.4478,0.0598,0.122406,343.993
3.988,163.83,298.58,360.93,166.71,0.515,11.887,1.1653,0.122,0.6235,0.5152,0.676,0.0509,0.157338,308.818
3.495,135.92,295.65,397.16,163.44,0.649,3.152,0.4991,0.4952,0.3577,0.228,0.7503,0.0542,0.225475,313.303
7.986,118.09,323.7,373.43,165.12,0.702,0.838,0.7992,0.0344,0.8444,0.1911,0.6554,0.1678,0.060281,372.315
4.724,107.16,318.68,367.37,170.11,0.345,9.699,0.9796,0.9093,0.4533,0.2355,0.3638,0.0539,0.462027,334.349
3.627,110.96,322.86,360.69,175.85,0.594,8.865,0.8595,0.2588,0.7264,0.8412,0.3167,0.0649,0.507108,342.655
3.701,136.56,296.32,363.39,170.18,0.327,1.078,0.5342,0.6625,0.0955,0.5692,0.7632,0.1322,0.454521,305.542
2.365,121.55,325.39,398.96,172.19,0.712,6.456,1.1794,0.3117,0.396,0.6833,0.5347,0.1314,0.157324,341.349
4.586,102.94,317.1,365.2,155.4,0.633,8.67,0.9069,0.5201,0.9832,0.2024,0.3034,0.1026,0.563021,345.661
4.072,131.86,316.06,398.89,161.52,0.648,3.575,0.3091,0.5467,0.8085,0.4034,0.7938,0.1829,0.02074,343.539
2.896,152.23,313.3,366.51,167.54,0.681,1.9,0.7646,0.1849,0.1599,0.5456,0.7534,0.0634,0.48227,325.681
2.124,162.42,320.6,361.57,168.58,0.548,12.119,0.4493,0.9696,0.2778,0.5078,0.4948,0.1074,0.260337,328.148
3.179,140.97,306.62,359.17,158.12,0.449,13.913,0.9508,0.7751,0.3298,0.3981,0.7483,0.189,0.317307,318.719
4.561,150.63,295.31,370.59,179.25,0.693,6.989,0.3586,0.9395,0.6504,0.1766,0.1828,0.0712,0.800649,316.788
1.408,125.48,311.57,361.84,153.55,0.689,2.443,0.6066,0.8948,0.757,0.6463,0.826,0.1921,0.066526,321.794
2.076,134.74,319.92,384.85,153.37,0.367,6.609,0.5822,0.5979,0.7495,0.5783,0.8823,0.0532,0.017999,325.992
7.634,151.07,296.15,361.99,156.87,0.751,4.547,1.1023,0.9219,0.5099,0.4364,0.1087,0.1904,0.396635,332.79
4.8,150.94,298.96,391.77,172.62,0.411,7.612,1.0862,0.0885,0.8108,0.8416,0.7934,0.2074,0.567493,311.381
1.444,129.72,317.86,391.7,151.1,0.453,0.631,1.041,0.196,0.4371,0.7048,0.7016,0.1893,0.328895,323.385
5.852,138.06,300.79,364.28,179.64,0.408,13.071,0.9716,0.0452,0.1239,0.3919,0.7841,0.2018,0.555999,318.662
1.433,164.67,296.8,387.68,179.63,0.783,1.343,1.159,0.3253,0.5644,0.1422,0.3375,0.2155,0.085046,305.258
6.172,144.24,325.58,392.88,154.79,0.45,6.733,0.4721,0.3887,0.9523,0.7403,0.864,0.144,0.131439,344.838
6.25,144.98,296.44,379.51,162.04,0.786,10.087,1.038,0.2713,0.793,0.4521,0.7663,0.1233,0.033382,339.669
5.558,154.92,303.77,368.32,156.12,0.619,9.942,0.9061,0.8287,0.5787,0.4778,0.4297,0.1825,0.145353,329.406
6.125,108.07,307.14,372.05,162.24,0.388,4.824,0.9313,0.3568,0.6468,0.5699,0.7308,0.1661,0.052471,331.272
1.616,136.6,309.05,389.31,165.99,0.577,7.744,0.6842,0.2809,0.9306,0.6284,0.4408,0.1919,0.360535,315.812
6.087,167.16,304.45,364.67,174.68,0.741,7.705,0.887,0.5427,0.4283,0.5869,0.3638,0.2132,0.006127,347.172
1.957,125.32,326.5,366.72,151.07,0.581,2.403,0.5137,0.1409,0.3314,0.3251,0.2168,0.0571,0.047049,335.856
3.377,120.64,316.35,358.04,179.61,0.366,5.9,0.7772,0.8022,0.9772,0.2423,0.8421,0.1691,0.331716,325.827
7.599,142.08,304.38,369.95,178.22,0.443,2.23,1.1736,0.0746,0.8634,0.1224,0.2852,0.1672,0.336607,327.47
4.52,115.48,304.31,354.33,167.11,0.412,1.328,0.9163,0.9869,0.323,0.1105,0.5089,0.1997,0.802694,320.962
7.772,138.92,310.12,366.05,164.43,0.363,1.307,0.9079,0.7722,0.4638,0.8111,0.5228,0.2302,0.004986,331.794
1.622,110.9,291.35,368.67,166.52,0.464,6.807,0.5118,0.1987,0.4151,0.8956,0.1271,0.0958,0.568622,298.747
4.343,140.59,327.07,362.77,150.55,0.631,11.079,1.0567,0.0055,0.1491,0.3861,0.7373,0.2292,0.490835,347.126
1.437,142.17,298.93,355.07,172.13,0.491,14.776,1.131,0.8155,0.9578,0.2704,0.6548,0.2007,0.388899,304.817
5.411,129.29,317.9,376.08,164.89,0.522,8.783,0.3975,0.7069,0.4043,0.4195,0.3317,0.0989,0.087855,339.279
1.551,126.79,321.11,393.25,158.58,0.46,4.84,0.7072,0.729,0.8753,0.1826,0.8463,0.182,0.299407,327.963
2.228,117.18,323.1,366.78,163.85,0.797,3.503,0.8993,0.7713,0.1894,0.6038,0.8932,0.1847,0.523516,338.554
2.812,123.16,296.63,361.84,158.78,0.593,10.575,1.0952,0.074,0.5479,0.28,0.6391,0.1154,0.050739,314.764
6.241,134.88,311.47,364.25,171.0,0.717,1.251,0.7832,0.3585,0.024,0.3539,0.6989,0.1255,0.455618,343.61
2.148,117.34,293.35,393.09,168.43,0.521,4.303,0.6781,0.1159,0.7642,0.7844,0.1476,0.0675,0.827064,302.794
6.926,154.8,322.19,376.39,161.64,0.384,10.484,0.3353,0.8631,0.5809,0.5553,0.4483,0.1552,0.112342,340.899
1.923,149.63,309.46,356.54,159.43,0.723,6.953,0.7963,0.6233,0.6256,0.2079,0.1197,0.2458,0.428484,319.645
1.247,118.85,296.34,385.46,176.34,0.682,7.753,0.5964,0.3309,0.0517,0.1764,0.6753,0.0614,0.412674,304.517
3.765,106.82,318.75,357.72,170.47,0.465,14.644,1.1938,0.0636,0.211,0.6233,0.7647,0.172,0.619867,334.903
7.856,100.01,303.25,353.01,171.47,0.603,6.367,0.8383,0.311,0.0743,0.2301,0.1952,0.054,0.021153,350.105
1.772,141.77,294.58,362.78,168.56,0.347,9.129,0.4931,0.3252,0.2889,0.2574,0.175,0.0589,0.017558,298.254
1.712,114.8,308.44,358.4,152.26,0.313,14.98,1.1934,0.7296,0.6274,0.5814,0.7587,0.1669,0.03918,322.994
6.258,100.88,299.41,380.25,151.78,0.708,10.452,0.8319,0.6376,0.5662,0.8285,0.5057,0.1902,0.040106,365.025
3.185,125.14,328.01,374.23,162.88,0.771,7.96,0.9924,0.8872,0.6121,0.5331,0.7771,0.1722,0.152579,349.932
6.021,167.34,304.45,386.2,177.91,0.472,5.196,1.1721,0.4722,0.5493,0.4747,0.4166,0.1504,0.017604,326.441
2.4,148.3,312.9,375.58,165.74,0.599,14.659,0.9755,0.1196,0.273,0.7869,0.2396,0.2039,0.446472,323.329
4.221,160.04,327.93,370.95,176.28,0.659,4.76,1.149,0.7132,0.2445,0.3348,0.3967,0.0841,0.166386,346.797
2.857,110.13,305.75,376.31,152.9,0.673,2.179,0.6258,0.7608,0.1371,0.1277,0.3234,0.2354,0.435566,324.836
4.161,105.13,304.33,371.72,171.73,0.541,13.925,0.3464,0.5613,0.8491,0.5462,0.5073,0.1929,0.117003,334.287
6.384,100.81,296.5,351.85,157.36,0.607,5.125,1.1676,0.771,0.6165,0.2055,0.8126,0.2055,0.358215,335.777
6.334,166.9,327.53,384.03,165.73,0.629,9.039,0.793,0.4938,0.1865,0.1485,0.386,0.0594,0.159057,350.963
4.61,121.01,322.03,398.11,158.79,0.352,9.866,0.9942,0.5227,0.1772,0.1776,0.6882,0.1643,0.380158,337.076
7.499,132.17,298.84,371.1,171.37,0.623,4.283,0.7963,0.4275,0.873,0.1883,0.6112,0.1516,0.125829,335.889
2.846,127.62,303.31,371.19,162.03,0.555,6.639,0.9849,0.0254,0.7427,0.6245,0.2782,0.22,0.574738,315.936
2.682,151.13,326.6,352.29,163.87,0.489,2.755,0.3537,0.1079,0.6594,0.5659,0.3538,0.2085,0.303158,334.639
5.297,121.7,311.49,394.52,157.36,0.431,13.326,0.3601,0.0314,0.4069,0.3562,0.2652,0.1151,0.125531,331.186
5.349,137.48,312.25,396.46,158.44,0.619,8.976,1.1278,0.6364,0.262,0.2945,0.7066,0.0786,0.314629,337.137
1.326,169.69,315.93,390.66,155.38,0.383,13.409,0.6922,0.3144,0.9795,0.1006,0.2026,0.1039,0.649207,318.989
5.254,131.08,320.49,355.32,166.61,0.705,4.228,0.5708,0.5086,0.7972,0.2271,0.5628,0.2296,0.134169,350.866
3.621,138.59,327.57,395.01,154.35,0.386,9.693,1.1234,0.9076,0.3018,0.5604,0.237,0.127,0.124711,337.611
6.232,135.18,322.09,351.2,158.05,0.686,3.66,1.199,0.2493,0.8476,0.5452,0.2579,0.2359,0.435215,354.291
6.657,156.22,327.38,372.23,165.91,0.709,4.691,0.8528,0.4104,0.7589,0.6891,0.1041,0.1274,0.506452,358.641
4.865,118.68,322.82,375.03,158.24,0.77,5.737,0.804,0.7556,0.2971,0.1264,0.4526,0.2478,0.420048,355.089
1.012,111.93,291.86,391.7,167.65,0.532,8.467,1.1258,0.2288,0.4266,0.7361,0.7475,0.1082,0.360341,296.084
5.455,152.79,294.7,387.54,150.42,0.332,8.559,0.4605,0.077,0.186,0.5654,0.1705,0.1338,0.238817,304.938
6.242,129.09,325.4,389.85,179.2,0.639,3.405,0.8697,0.2898,0.1111,0.3183,0.777,0.113,0.444332,357.929
2.743,163.96,291.11,393.4,171.9,0.441,1.168,1.0257,0.1612,0.7228,0.4485,0.7748,0.2481,0.085218,299.329
4.253,145.09,321.77,373.8,165.11,0.346,11.695,0.9655,0.9297,0.2675,0.7395,0.2857,0.1352,0.036507,336.525
7.76,139.5,323.99,389.01,177.63,0.728,8.128,0.9735,0.8081,0.8201,0.4886,0.7986,0.212,0.102577,369.872
3.087,104.93,306.62,353.4,176.09,0.37,5.042,1.0245,0.6334,0.9956,0.6664,0.7612,0.0815,0.056025,317.274
2.562,151.13,304.19,372.23,161.0,0.553,1.265,0.4911,0.8715,0.0766,0.426,0.6235,0.0696,0.497557,314.861
2.476,148.02,297.78,351.51,153.48,0.694,2.017,0.7999,0.8037,0.473,0.5371,0.765,0.2295,0.156335,309.503
4.912,144.81,291.96,395.77,157.57,0.4,6.642,0.3988,0.1866,0.8021,0.7663,0.1589,0.1294,0.749667,306.354
7.649,118.75,319.82,397.92,156.26,0.748,7.516,0.3817,0.8926,0.789,0.4973,0.3553,0.1934,0.344294,367.714
5.261,166.27,292.95,354.2,172.5,0.466,5.973,1.036,0.5393,0.76,0.5505,0.3309,0.1344,0.184235,307.829
3.123,122.52,327.79,376.63,166.44,0.498,8.714,1.0307,0.8074,0.349,0.4377,0.7253,0.2125,0.278291,342.061
5.47,110.66,301.87,366.26,175.5,0.366,12.304,0.4641,0.8961,0.4539,0.2525,0.7014,0.1726,0.47544,319.044
5.374,169.1,321.77,367.13,164.69,0.622,10.318,0.809,0.318,0.595,0.8788,0.8128,0.1949,0.361906,342.477
5.178,152.24,292.39,372.54,173.09,0.548,13.072,0.3351,0.1101,0.9739,0.1165,0.3308,0.2025,0.413684,311.578
2.116,129.04,311.45,356.25,159.7,0.787,9.429,0.6337,0.2279,0.3275,0.1994,0.4791,0.0848,0.023773,330.148
5.442,165.51,303.96,359.04,168.06,0.649,2.023,0.4325,0.4271,0.9231,0.6702,0.115,0.1209,0.712165,325.4
4.011,106.38,291.2,378.87,169.18,0.679,2.674,0.6352,0.818,0.2694,0.6926,0.8921,0.1133,0.403578,317.384
1.13,106.14,316.23,350.94,172.78,0.4,6.162,0.822,0.8607,0.9891,0.2251,0.4288,0.1731,0.71786,320.375
4.778,147.77,327.73,379.99,173.98,0.656,4.616,1.0242,0.007,0.6703,0.6071,0.5463,0.0602,0.375483,347.781
